epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,1.6341351385299976,0.7460544059040796,0.10296136406425609,0.1438240529485434,77.84443124452606
2,1.2430277054126446,0.7902090765449045,0.10991711635105528,0.15235142081362488,58.81246526561761
3,1.059800969866606,0.7863274285000189,0.11639089351172133,0.16578411250311487,64.94525110290603
4,0.9595244022516104,0.7966806595820004,0.16487221462143264,0.23632979696873035,53.37147699605382
5,0.8367745922161982,0.8086895746500754,0.1855620496128696,0.2638929351236525,37.88153199845213
6,0.7742604578916843,0.8211068377154477,0.23083578016529233,0.3225997578679901,40.331298820563305
7,0.7295348644256592,0.8067376234409923,0.18684378918151423,0.27316134654463,60.19434676117331
8,0.6789145767688751,0.8192115664951174,0.24479363752766087,0.3440529486950282,77.10503126512626
9,0.6393519399257807,0.8077928155847433,0.24422482835916542,0.3466452026845549,53.15456011141356
10,0.6026984269802387,0.8130602169291595,0.24407857051186,0.35474069089207905,53.6286652356048
11,0.5720357470787488,0.8145701469979424,0.24015184546970922,0.3487986961448894,48.13783509060975
12,0.5564835977095824,0.8288968653896921,0.27699296377462934,0.3951223603383001,60.26096021899042
13,0.5227985485241964,0.812947421306006,0.25413331963858027,0.3657434032154188,61.414569893860694
14,0.5001523855787057,0.8272211656359142,0.26539229298844985,0.3790596221733809,52.06159654160503
15,0.48245480026190096,0.8301112054607077,0.30322695151847934,0.4306419774554434,88.9368649231676
16,0.46766691425671947,0.8329150871877623,0.3009717769848067,0.43286371889155495,88.90832351970757
17,0.4596543283416675,0.8386648233850234,0.3111013850361862,0.43607641174898587,62.97099321891561
18,0.45477687338223827,0.8186420577066998,0.2685021815862291,0.38939389715054934,69.80468074006045
19,0.4542095580926308,0.8232441981409754,0.2818012106641141,0.4013220326310504,67.17028865780223
20,0.46256239540301836,0.8260124126729833,0.28835743140717074,0.4092918257344952,83.44266372374891
21,0.45713632840376633,0.8289566493273809,0.29469673541175556,0.40835079701008165,54.66190732965673
22,0.45174769541391957,0.822296365006787,0.29328774811062186,0.4154843554860872,56.67341099423979
23,0.4407797289582399,0.8327779302684138,0.30540736629253873,0.43316426838295363,57.86575494745082
24,0.43043016814268553,0.8241369126667848,0.2715036386759583,0.38519164422394764,70.97347892056685
25,0.43550557585862965,0.8026069070087563,0.22124487199222578,0.3287359560840962,39.619330851777235
26,0.41651253459545284,0.816577179191781,0.25257282838219636,0.3684747017900514,51.229828959975606
27,0.41235638008667874,0.8135600279551047,0.23915476175932288,0.34846231339937744,32.33959811865563
28,0.4432553184720186,0.8165925484419672,0.2535367807926835,0.3670931510017892,76.38376647347162
29,0.41649752683364427,0.8170606051297064,0.25996022399745394,0.3747677679689729,45.1319755386371
30,0.41111324440974456,0.8264320665691325,0.27069047901280374,0.3840263477907019,46.63503250202311
31,0.4100850407893841,0.8260313185437754,0.3195746689881971,0.4478221026737747,80.7734241063365
32,0.3926068584506328,0.8426032642895321,0.3444678749407922,0.4784334450834004,47.76311036652716
